    condition    batch
WT10R1    WT10    1
WT10R2    WT10    1
WT10R3    WT10    1
WT10R4    WT10    1
WT15R1    WT15    1
WT15R2    WT15    1
WT15R3    WT15    1
WT15R4    WT15    1
WT20R1    WT20    1
WT20R2    WT20    1
WT20R3    WT20    1
WT20R4    WT20    1
WT25R1    WT25    1
WT25R2    WT25    1
WT25R3    WT25    1
WT25R4    WT25    1
WT30R1    WT30    1
WT30R2    WT30    1
WT30R3    WT30    1
WT30R4    WT30    1
WT35R1    WT35    2
WT35R2    WT35    2
WT35R3    WT35    2
WT35R4    WT35    1
WTMATR1    WTMAT    2
WTMATR2    WTMAT    2
WTMATR3    WTMAT    2
WTMATR4    WTMAT    2
