gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
A1BG	H3255	E07_vs_C36	upregulated	0.00395	0.0298745								0.7359439999999999				
A1BG	H3255	E07_vs_Veh	upregulated	0.0055	0.0366381									0.616541			
AAAS	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.803401											
AAAS	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-0.958549								
AAAS	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-1.16697							
AAAS	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-2.12825						
AAAS	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							2.06832					
AAAS	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.57552			
AAAS	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.7029380000000001	
AAAS	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.0633
AASS	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.619324				
AASS	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.669423			
AATBC	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.973108											
AATBC	A549	E07_vs_Veh	upregulated	0.0002	0.0146587			0.8163130000000001									
AATF-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.860509											
AATF-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			1.27446									
AATF-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.61751								
AATF-2	H1975	E07_vs_Veh	downregulated	0.0016	0.0309951						-0.926633						
AATF-2	H3255	C36_vs_Veh	upregulated	0.0007	0.0411395							0.933443					
AATF-2	H3255	E07_vs_Veh	upregulated	0.0003	0.00348921									1.04369			
AATF-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											1.05196	
AATF-2	H820	E07_vs_Veh	upregulated	0.0001	0.00551569												0.983276
